,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
2036,2036,Italy,"floral aromas white spring flowers partner hints pear stone . juicy palate offers white peach , apple green melon alongside mineral note fresh acidity .",Castello,87,15.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Cantina del Castello 2013 Castello  (Soave Classico),White Blend,Cantina del Castello,5
2496,2496,Italy,"aromas honeysuckle , jasmine stone lead nose vibrant . juicy palate delivers creamy white peach , green apple honeydew melon alongside crisp acidity .",Monte Stelle,88,16.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,La Cappuccina 2013 Monte Stelle  (Soave Classico),Garganega,La Cappuccina,5
4040,4040,Italy,"aromas chamomile flower , spanish broom orchard lift glass . ripe palate offers exotic , juicy peach note candied citrus zest .",Vin Soave,88,15.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Inama 2015 Vin Soave  (Soave Classico),Garganega,Inama,5
4202,4202,Italy,"offers aromas white spring flower , orchard almond . straightforward palate , hint mineral underscores pear citrus .",Monte Majore,87,,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Le Albare 2015 Monte Majore  (Soave Classico),Garganega,Le Albare,5
4221,4221,Italy,aromas mature orchard botanical herb lift glass . aromas repeat bright palate along juicy hint nectarine almond note .,,87,12.0,Veneto,Soave,,Kerin O’Keefe,@kerinokeefe,Corte Adami 2015  Soave,Garganega,Corte Adami,5
6231,6231,Italy,"linear vibrant , enticing fragrance hawthorn black locust . juicy palate offers creamy white peach , tart green apple citrus alongside energizing mineral vein . 's well balanced , zesty acidity .",Pressoni,90,16.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Cantina del Castello 2013 Pressoni  (Soave Classico),White Blend,Cantina del Castello,5
6871,6871,Italy,"lovely fresh , heady scents beeswax , wild flower apple . bright palate offers ripe pear , creamy peach citrus alongside bright acidity light mineral note .",,89,24.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Guerrieri Rizzardi 2015  Soave Classico,Garganega,Guerrieri Rizzardi,5
6917,6917,Italy,"year year , always one best soaves 2013 exception . elegant impeccably balanced vibrant acidity , delivers crisp yellow apple , bartlett pear , creamy white peach , almond lemon zest sensations . notes saline energizing mineral close lingering finish . drink 2020 .",La Froscà,93,29.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Gini 2013 La Froscà  (Soave Classico),Garganega,Gini,5
8126,8126,Italy,"subdued aromas ripe orchard pressed yellow flower slowly take shape . big soft palate shows ripe apricot , candied lemon drop buttery note .",Vigneti di Foscarino,88,,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Inama 2015 Vigneti di Foscarino  (Soave Classico),Garganega,Inama,5
9740,9740,Italy,"aromas ripe green apple , pear , spanish broom tangerine lead creamy palate yellow stone hint white almond . fresh acidity mineral note brighten finish .",,89,16.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Balestri Valda 2015  Soave Classico,Garganega,Balestri Valda,5
9868,9868,Italy,"appealing aromas mature pear , crushed stone hint grilled herb lift glass . ripe palate offers juicy nectarine , pineapple creamy white peach hint bitter almond closes . enough freshness support rich flavors .",,88,,Veneto,Soave,,Kerin O’Keefe,@kerinokeefe,Tamellini 2015  Soave,Garganega,Tamellini,5
9877,9877,Italy,"aromas chamomile flower ripe orchard lead nose round palate offers mature apple , bartlett pear , juicy white peach hint mineral . 's lot enjoy .",Vicario,88,,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Cantina di Monteforte 2015 Vicario  (Soave Classico),Garganega,Cantina di Monteforte,5
10067,10067,Italy,"initially shy , eventually reveals aromas citrus blossom , orchard grilled herb . aromas carry savory enjoyable palate along citrusy notes .",Farinaldo,88,,Veneto,Soave,,Kerin O’Keefe,@kerinokeefe,Tenuta Grimani 2015 Farinaldo  (Soave),Garganega,Tenuta Grimani,5
11114,11114,Italy,"aromas ripe orchard , pressed flower whiff citrus zest take center stage enjoyable white . bright palate offers golden apple pear note bitter almond closes finish .",Tufaie,87,15.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Bolla 2015 Tufaie  (Soave Classico),Garganega,Bolla,5
11147,11147,Italy,"mature orchard , lychee , citrus zest balsamic note lead way . savory palate shows citrus zest unusual salty hint cured meat alongside fresh acidity . toasted note marks finish .",Il Roccolo,89,,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Le Mandolare 2015 Il Roccolo  (Soave Classico),Garganega,Le Mandolare,5
11151,11151,Italy,"aromas suggesting grilled herb ripe orchard . bright linear , palate offers pear , peach aromatic herb hint citrus zest marks finish .",Villa Borghetti,89,,Veneto,Soave,,Kerin O’Keefe,@kerinokeefe,Pasqua 2015 Villa Borghetti  (Soave),Garganega,Pasqua,5
11160,11160,Italy,"aromas citrus blossom , mature pear ripe peach follow juicy palate along apricot , pineapple mineral note . hint bitter almond closes finish . 's extremely enjoyable surprisingly fresh hot vintage .",I Giaroni,89,,Veneto,Soave,,Kerin O’Keefe,@kerinokeefe,Tirapelle Nicola 2015 I Giaroni  (Soave),Garganega,Tirapelle Nicola,5
11162,11162,Italy,"scents beeswax , pressed flower mature orchard lead nose savory , linear palate doles pear , white almond citrus note . fresh acidity brightens creamy flavors .",Monopolio,89,,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Vitevis 2015 Monopolio  (Soave Classico),Garganega,Vitevis,5
12393,12393,Italy,"delicate aromas yellow flowers notes exotic , classic , bright soave . juicy palate offers subtle peach , apples honeydew melon hint almond alongside fresh acidity . sip apéritif pair light first courses appetizers .",Vigne di Sande,87,13.0,Veneto,Soave,,Kerin O’Keefe,@kerinokeefe,Villa Canestrari 2013 Vigne di Sande  (Soave),White Blend,Villa Canestrari,5
12412,12412,Italy,"medium-bodied conveys fragrances yellow flowers exotic . palate offers ripe apple , mature pear white peach alongside fresh acidity . closes almond note .",Colli Scaligeri,87,22.0,Veneto,Soave Colli Scaligeri,,Kerin O’Keefe,@kerinokeefe,Sandro de Bruno 2011 Colli Scaligeri  (Soave Colli Scaligeri),Garganega,Sandro de Bruno,5
13209,13209,Italy,"charming white delicate aromas pressed white flower , beeswax orchard . palate offers green apple , citrus herbal note alongside brisk acidity .",Montefoscarino,86,13.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Santa Sofia 2014 Montefoscarino  (Soave Classico),Garganega,Santa Sofia,5
14899,14899,Italy,"pressed spanish broom , citrus zest almond aromas lead nose . lively palate , lemon drop hint accents pink grapefruit yellow apple notes . 's vibrant , racy acidity .",Vigne del Brà,87,28.0,Veneto,Soave Colli Scaligeri,,Kerin O’Keefe,@kerinokeefe,Filippi 2014 Vigne del Brà  (Soave Colli Scaligeri),Garganega,Filippi,5
14902,14902,Italy,"delicate orchard , citrus zest white spring flower scents . bright palate , bitter almond note accents ripe pear nectarine flavors tangy acidity .",Vin Soave,87,,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Inama 2016 Vin Soave  (Soave Classico),Garganega,Inama,5
15864,15864,Italy,"aromas citrus zest , stone , toasted almond whiff light baking spice lead way polished white . vibrant , elegantly structured palate shows bosc pear , white peach , nectarine hint ginger . mineral note backs finish .",Salvarenza Vecchie Vigne,90,38.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Gini 2013 Salvarenza Vecchie Vigne  (Soave Classico),Garganega,Gini,5
16779,16779,Italy,"floral fragrance spanish broom , jasmine chamomile . juicy palate delivers citrus , pineapple almond alongside crisp acidity lends clean , refreshing close .",Fontego,89,10.0,Veneto,Soave,,Kerin O’Keefe,@kerinokeefe,La Cappuccina 2012 Fontego  (Soave),White Blend,La Cappuccina,5
16936,16936,Italy,"vanilla , smoke , lemon peel pear . linear palate offers tart yellow apples , yellow grapefruit , graphite hint vanilla alongside bright acidity .",Il Pigno,86,24.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Marcato 2012 Il Pigno  (Soave Classico),Garganega,Marcato,5
17712,17712,Italy,"subtle aromas white spring flowers , light spice yellow apple . juicy palate offers tropical , pear bitter almond notes alongside fresh acidity .",Monte Tenda,87,17.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Marcato 2012 Monte Tenda  (Soave Classico),Garganega,Marcato,5
17717,17717,Italy,starts light fragrance spring flowers pear . bright palate offers white peach citrus notes alongside crisp acidity leaves clean finish .,Tufaie,87,13.0,Veneto,Soave Classico Superiore,,Kerin O’Keefe,@kerinokeefe,Bolla 2012 Tufaie  (Soave Classico Superiore),White Blend,Bolla,5
20729,20729,Italy,"white flower , yellow stone honeydew melon aromas . fruity sensations carry palate , tangerine zest note tangy acidity leads juicy finish .",Sereole,87,,Veneto,Soave Colli Scaligeri,,Kerin O’Keefe,@kerinokeefe,Bertaini 2016 Sereole  (Soave Colli Scaligeri),Garganega,Bertaini,5
22097,22097,Italy,"pear , white flower crushed herb aromas jump glass . fresh savory palate offers creamy white peach , apple hint nectarine zest mineral note lends energy .",Roncathe,88,12.0,Veneto,Soave,,Kerin O’Keefe,@kerinokeefe,Corte Moschina 2015 Roncathe  (Soave),Garganega,Corte Moschina,5
22102,22102,Italy,"initially shy , eventually reveals aromas citrus blossom , orchard grilled herb . aromas carry savory enjoyable palate along citrusy notes .",Farinaldo,88,,Veneto,Soave,,Kerin O’Keefe,@kerinokeefe,Tenuta Grimani 2015 Farinaldo  (Soave),Garganega,Tenuta Grimani,5
22265,22265,Italy,"delicate spring flower orchard scents lift glass . crisp palate , bitter almond note underscores yellow peach , golden apple nectarine flavors , lively acidity .",Castel Cerino,88,15.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Coffele 2016 Castel Cerino  (Soave Classico),Garganega,Coffele,5
