,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
1535,1535,France,"boissonneau family since 1839 , southern entre-deux-mers vineyard gives crisp , herbal light attractive acidity . lemon grapefruit flavors , bright crisp aftertaste . drink .",,85,20.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château de la Vieille Tour 2016  Bordeaux Blanc,Bordeaux-style White Blend,Château de la Vieille Tour,10
2422,2422,France,"estate entre-deux-mers region , firm concentrated , packed ripe tannins juicy blackberry . dense , dusty tannins , smooth polished texture .",,85,15.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Marac 2010  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Marac,10
8198,8198,France,"thieuley 's vineyard ridge heart entre-deux-mers . top white cuvée , light wood aging , shows wonderful freshness vintage also giving rich , full white fruits , spice smooth , creamy texture .",Cuvée Francis Courselle,91,23.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Thieuley 2007 Cuvée Francis Courselle  (Bordeaux Blanc),Bordeaux-style White Blend,Château Thieuley,10
10946,10946,France,"grown far eastern edge bordeaux , entre-deux-mers , bright fruity . tannins lift juicy red black-currant fruits .",Château le Mayne Turon,86,,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Les Vignerons Réunis de Monségur 2014 Château le Mayne Turon  (Bordeaux),Bordeaux-style Red Blend,Les Vignerons Réunis de Monségur,10
10966,10966,France,"situated highest point entre-deux-mers region , estate dominated ripe merlot . fruity soft lively acidity gentle tannins . touch wood aging , although fruitiness . drink 2017 .",Cabernet Sauvignon-Merlot,86,12.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Saint-Florin 2015 Cabernet Sauvignon-Merlot  (Bordeaux),Bordeaux-style Red Blend,Château Saint-Florin,10
15994,15994,France,"estate east entre-deux-mers region produced ripe white balances white crisp herbal element . acidity touch spice , 's crisp ready drink .",,86,12.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Haut Peyruguet 2016  Bordeaux Blanc,Sauvignon-Sémillon,Château Haut Peyruguet,10
19968,19968,France,"fine , fresh white bordeaux entre-deux-mers property . sauvignon blanc sémillon , touched wood , spice melon flavors brightened citrus .",,88,16.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Thieuley 2008  Bordeaux Blanc,Bordeaux-style White Blend,Château Thieuley,10
21039,21039,France,"light fruity ready drink . heart entre-deux-mers region , red berry fruits juicy acidity . greener , herbal character background suggests grapes n't totally ripe harvest .",,83,19.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château de Crain 2012  Bordeaux,Bordeaux-style Red Blend,Château de Crain,10
25453,25453,France,"100 % merlot entre-deux-mers , style grand cru , rich , spicy full superripe blackberry flavors . low yielding , high density vines , big concentrated , hints wood weight .",,91,,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Girolate 2005  Bordeaux,Merlot,Girolate,10
26062,26062,France,"vines heart entre-deux-mers , fresh , fruity light . red-currant flavors bright crisp . 's perfumed cabernet franc dominates . drink 2018 .",Réserve Vieilles Vignes,84,12.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Roustaing 2015 Réserve Vieilles Vignes  (Bordeaux),Bordeaux-style Red Blend,Château Roustaing,10
34883,34883,France,"delicious , creamy , fresh light apéritif style , white fruits touched spice soft , open , approachable texture . estate entre-deux-mers , great value bordeaux .",,87,15.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Penin 2007  Bordeaux Blanc,Bordeaux-style White Blend,Château Penin,10
37166,37166,France,"vines entre-deux-mers , cool although fresh black-currant fruits balanced tannins . dominated merlot blended cabernet sauvignon cabernet franc , juicy character leaves fresh taste well lively acidity . drink end 2016 .",La Fleur de Ribeyrolles,85,14.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Vrai Caillou 2013 La Fleur de Ribeyrolles  (Bordeaux Supérieur),Bordeaux-style Red Blend,Château Vrai Caillou,10
41359,41359,France,"situated highest point entre-deux-mers region , estate dominated ripe merlot . fruity soft lively acidity gentle tannins . touch wood aging , although fruitiness . drink 2017 .",Cabernet Sauvignon-Merlot,86,12.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Saint-Florin 2015 Cabernet Sauvignon-Merlot  (Bordeaux),Bordeaux-style Red Blend,Château Saint-Florin,10
41550,41550,France,minty aromas reflect new wood used age . red berry fruitiness recalls vintage firm tannins allow age several years . comes western end entre-deux-mers region . drink 2019 .,,88,15.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château de Bel 2014  Bordeaux Supérieur,Bordeaux-style Red Blend,Château de Bel,10
44903,44903,France,"vineyards entre-deux-mers region bordeaux , fontana family dry core surrounded ripe , fresh . still young age , certainly 2017 .",Grande Réserve,86,14.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Haut Clairbes 2014 Grande Réserve  (Bordeaux),Bordeaux-style Red Blend,Château Haut Clairbes,10
