,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
420,420,France,"first 15 estates gonfrier family owns throughout bordeaux . strong wood influences , although enough match . ripe pear apricot flavors go toasty characters give rich , full-bodied . better late 2016 .",,89,,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château de Marsan 2015  Bordeaux Blanc,Bordeaux-style White Blend,Château de Marsan,4
573,573,France,"fruity ripe , also solid structure give core dark tannins . black-currant fruits developing well , bringing crispness party . drink 2018 .",,89,14.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Bois Chantant 2015  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Bois Chantant,4
578,578,France,"ripe perfumed fine tannins well dense . blackberry flavors along acidity crisp aftertaste . 's good future , ready drink 2018 .",Château Jean de Bel Air,89,15.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Maison Noble Saint Martin 2015 Château Jean de Bel Air  (Bordeaux),Bordeaux-style Red Blend,Château Maison Noble Saint Martin,4
933,933,France,"firm tannic early stage , potential bring fruity character . red-berry fruits acidity , promising fresh 2018 .",,87,16.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Mougneaux 2014  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Mougneaux,4
934,934,France,"ripe balanced acidity allow make room touches wood aging . spice , smoky character attractive finishing freshness . drink 2017 fully balanced .",Vieilles Vignes,87,15.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Saintongey 2014 Vieilles Vignes  (Bordeaux),Bordeaux-style Red Blend,Château Saintongey,4
935,935,France,"estate marmet family since 1990 , ripe merlot flavors give generous character . big , bold fruitiness dominates whose structure firm smooth . drink starting 2019 .",Vieilles Vignes,87,14.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Ségonzac 2014 Vieilles Vignes  (Blaye Côtes de Bordeaux),Bordeaux-style Red Blend,Château Ségonzac,4
960,960,France,"fragrant , spicy shot red fruits fine acidity . 95 % merlot 5 % cabernet sauvignon still firm tannins although acidity bright well balance . drink 2018 .",,87,18.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Cap Saint-Martin 2014  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Cap Saint-Martin,4
961,961,France,ripe full . structure well firm tannins smoky backdrop . broaden well give rich 2018 .,,87,20.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château de Bel 2014  Bordeaux Supérieur,Bordeaux-style Red Blend,Château de Bel,4
980,980,Italy,"n't seem fully evolved aromas muddled places notes mature natural rubber . mouth red flavors tight tannins , generally lacks definition .",Capitel della Crosara,85,41.0,Veneto,Amarone della Valpolicella Classico,,,,Montresor 2003 Capitel della Crosara  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Montresor,4
1145,1145,France,"fresh plenty acidity well firm tannins . still young , waiting fill riper flavors . aftertaste repeats acidity .",La Tour du Gouverneur,83,12.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Les Vignerons Réunis de Monségur 2014 La Tour du Gouverneur  (Bordeaux),Bordeaux-style Red Blend,Les Vignerons Réunis de Monségur,4
1351,1351,France,"new wood dominates soft . round smoky , featuring notes black cherries red plums fall behind toasty caramel sweetness . needs several months wood influence integrate .",,86,,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Bois Noir 2009  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Bois Noir,4
1536,1536,France,"mottet family bought chateau 2009 renovation mode : chateau , winery , vast vineyards placement dramatic 40-foot steel rooster vineyard . refreshing , lively crisp , plenty acidity . reveals spice , apples lime flavors along mineral side . ready drink .",,85,12.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château la France 2016  Bordeaux Blanc,Bordeaux-style White Blend,Château la France,4
1537,1537,France,touch caramel well spice . work well red fruits shine ripe . ready drink .,,85,,Bordeaux,Bordeaux Rosé,,Roger Voss,@vossroger,Château Lalande Méric 2016 Rosé (Bordeaux Rosé),Rosé,Château Lalande Méric,4
1613,1613,France,"still lean structured , cool-feeling , young . dry tannins chewy texture needs soften . back , juicy black currant fruits show promise future . drink 2018 .",,87,15.0,Bordeaux,Cadillac Côtes de Bordeaux,,Roger Voss,@vossroger,Château de Paillet-Quancard 2012  Cadillac Côtes de Bordeaux,Bordeaux-style Red Blend,Château de Paillet-Quancard,4
1754,1754,France,jammy fruits conflict firm tannic structure . yet balanced needs lighter touch . producer jean paul barre .,,84,20.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Saint-Urban 2013  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Saint-Urban,4
1767,1767,France,"much extraction given dry character . juicy red fruits underneath come ages . likely , though , always dry .",,84,25.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Barreyre 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Barreyre,4
1768,1768,France,"firm , smoky fine tannins ripe developing well , allowing berry fruits come structure . give late 2016 .",,84,25.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Laronde Désormes 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Laronde Désormes,4
1770,1770,France,"owner jean-pierre palatin 's vineyards highest elevation appellation , mostly merlot soft fruity , ripe little sense structure . juicy acidity . light perfumed , ready drink . winemaker thomas guibert also handles ferrand , palatin 's saint-émilion grand cru .",,84,,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château Roquevieille 2013  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château Roquevieille,4
1775,1775,France,"ripe jammy attractive soft fruits acidity , crushed strawberry light spice flavors . drink late 2016. macif , mutual insurance company , bought estate 1980s restored vineyards beautiful château . estate manager fredéric dubois consultant georges pauli .",,84,,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château de Belcier 2013  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château de Belcier,4
1776,1776,France,"concentrated , seems ripe . jammy berry flavors mixed dry tannins firm backdrop . 's solid , although quite balanced . estate founded 1967 philippe raguenot ; daughters emmanuelle marie-pierre took 1997 .",,84,17.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château des Tourtes 2012  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château des Tourtes,4
1777,1777,France,"firm tannins , also plenty fresh black currant fruits . acidity crisp texture give lift brightness . drink 100 % merlot 2016 tannins softened .",Premium,84,23.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Donjon de Bruignac 2013 Premium  (Bordeaux Supérieur),Merlot,Château Donjon de Bruignac,4
1778,1778,France,"perfumed strawberry aromas show well . palate , fruity , jammy texture good balancing acidity . tannins still need soften , drink 2017 .",,84,,Bordeaux,Francs Côtes de Bordeaux,,Roger Voss,@vossroger,Château Godard 2013  Francs Côtes de Bordeaux,Bordeaux-style Red Blend,Château Godard,4
1783,1783,France,"hugely tannic , formidable great weight , richness dark dense structure . juicy berry fruits , sweet plum flavors dry , concentrated backdrop promise aging . drink 2018 .",,91,35.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Haut Bertinerie 2010  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Haut Bertinerie,4
1918,1918,France,"solid , structured black currant , balanced acidity firm tannins . solid texture , core dryness potential age 3–4 years .",,87,12.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Belrose 2011  Bordeaux,Bordeaux-style Red Blend,Château Belrose,4
1919,1919,France,"serious amount wood , feels rich concentrated . wood spice , touch burnt , along chocolate black currant show extraction need 2–3 years ' aging .",,87,20.0,Bordeaux,Cadillac Côtes de Bordeaux,,Roger Voss,@vossroger,Château de Lestiac 2011  Cadillac Côtes de Bordeaux,Bordeaux-style Red Blend,Château de Lestiac,4
