,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
1134,1134,France,"structured stalky without weight , reflecting difficult vintage . smoky character comes acidity leave dry aftertaste . 2016 , soften little , although always missing . 55 % merlot , 25 % cabernet ssauvignon 20 % cabernet franc .",,84,15.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Vrai Caillou 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Vrai Caillou,6
1144,1144,US,"meritage mostly cabernet sauvignon merlot , smaller additions malbec , petit verdot cabernet franc . tasting quite ripe , burnt sage cedar undertone . tannins hit back palate power much finesse .",,83,11.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Kirkland Signature 2012 Meritage (Napa Valley),Meritage,Kirkland Signature,6
1750,1750,France,"forward red fruits give good beginning light fruity merlot , cabernet franc cabernet sauvignon . crisp red currant flavors layers acidity . drink .",Château Les Vergnes,84,13.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Univitis 2013 Château Les Vergnes  (Bordeaux),Bordeaux-style Red Blend,Univitis,6
1774,1774,US,"dark , dry puckering stewed plum flavor , offers depth tannin herbal notes . 70 % cabernet sauvignon , 22 % cabernet franc 8 % merlot , spent 20 months french oak .",Bellarina,84,22.0,California,Knights Valley,Sonoma,Virginie Boone,@vboone,Ehret 2010 Bellarina Meritage (Knights Valley),Meritage,Ehret,6
1779,1779,France,"firm juicy , 80 % merlot 20 % cabernet sauvignon solid , still young , . aftertaste tough packed acidity .",,84,15.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Haut Boilon 2013  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Haut Boilon,6
1968,1968,France,"cherry blackberry notes dominate ripe , full . smoky , toasty character lends good balance aging potential . estate planted merlot cabernet sauvignon .",,88,10.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château de Bordes-Quancard 2010  Bordeaux,Bordeaux-style Red Blend,Château de Bordes-Quancard,6
2321,2321,France,"structured although plenty ripe full berry fruits . drink 2017. includes 50 % merlot , 40 % cabernet sauvignon 10 % cabernet franc .",,85,25.0,Bordeaux,Côtes de Bordeaux,,Roger Voss,@vossroger,Château Les Hauts de Palette 2012  Côtes de Bordeaux,Bordeaux-style Red Blend,Château Les Hauts de Palette,6
2323,2323,France,"plenty weight support ripe fruits , balanced , perfumed . structure tannins , along fresh black currant flavors 80/20 merlot/cabernet sauvignon . drink 2016 .",,85,15.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Roc Montalon 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Roc Montalon,6
2569,2569,US,"half cabernet rest syrah , cabernet sauvignon , merlot , mourvèdre petit verdot , aromas sweet barrel spices followed dried red black . palate fruit-forward flavorful , bringing back another sip .",Flying Colors Super Tuscan-Style,89,29.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Genoa 2012 Flying Colors Super Tuscan-Style Red (Columbia Valley (WA)),Red Blend,Genoa,6
2979,2979,France,"alliance bourg co-op packed minty new-wood aromas , potential smooth , polished . 70 % merlot , 20 % cabernet sauvignon 10 % cabernet franc . firm tannins stage mask ripe blackberry fruits . give 2019 drinking .",Grande Réserve,91,37.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Closerie du Bailli 2014 Grande Réserve  (Blaye Côtes de Bordeaux),Bordeaux-style Red Blend,Closerie du Bailli,6
