,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
2362,2362,Italy,"amarone loaded big sensations ripe cherry plum , along raisin , chocolate oak accents . 's rather one dimensional , delicious perfect immediate enjoyment .",Grotta del Ninfeo,88,42.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Domenico Fraccaroli 2008 Grotta del Ninfeo  (Amarone della Valpolicella),Red Blend,Domenico Fraccaroli,2
2369,2369,Italy,"funky unpleasant aromas soon burn reveal earthy notes mature black . palate shows ripe—almost overripe—blackberry flavor , mushroom tobacco leaf accents . ripe still immediate appeal , getting tired , drink soon .",,88,85.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Trabucchi d'Illasi 2007  Amarone della Valpolicella,Red Blend,Trabucchi d'Illasi,2
2661,2661,Italy,"nose leads forward oak vanilla aromas . palate offers personality ripe , luscious flavors , additional notes spice toast . shows complexity , 's fast approaching optimum drinking window , enjoy soon .",,90,150.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Zymè 2006  Amarone della Valpolicella Classico,Red Blend,Zymè,2
2684,2684,Italy,"muscular amarone almost overripe fragrance , along chocolate vanilla notes . alcohol forward palate , also delivers sweet plum , prune black pepper flavor , hints vanilla coffee . direct powerfully structured .",Sergio Zenato Riserva,90,125.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Zenato 2007 Sergio Zenato Riserva  (Amarone della Valpolicella Classico),Red Blend,Zenato,2
2822,2822,Italy,"'s fruity expression sangiovese aromas blueberry extract , plum , resin confectionary note . simple palate fleshy blackberry , black cherry hint clove accompanied dusty , almost gritty tannins . drink .",Casalino,86,,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Bonacchi 2013 Casalino  (Chianti Classico),Red Blend,Bonacchi,2
2823,2823,Italy,"aromas strawberry , plum , wild flower whiff spice waft glass . simple , lively palate offers fleshy black cherry , ripe raspberry hint baking spice alongside soft tannins . drink soon .",,86,,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Querceto 2013  Chianti Classico,Red Blend,Castello di Querceto,2
2833,2833,Italy,"sangiovese , 10 % canaiolo 10 % merlot offers aromas violet , black plum whiff baking spice . simple fleeting palate offers black cherry , raspberry hint clove alongside mild tannins fresh acidity .",Pratale,86,13.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Coli 2013 Pratale  (Chianti Classico),Red Blend,Coli,2
3243,3243,Italy,"aromas toast , oak , espresso whiff smoke lead nose . palate offers oak extract , coconut , coffee vanilla 's enough richness support oak . 's already reached ideal drinking window enjoy sooner rather later .",Da Vinci Riserva,86,23.0,Tuscany,Chianti,,Kerin O’Keefe,@kerinokeefe,Cantine Leonardo Da Vinci 2010 Da Vinci Riserva  (Chianti),Red Blend,Cantine Leonardo Da Vinci,2
3700,3700,Italy,"tilled earth , blue flower , leather , blueberry cured meat aromas jump glass concentrated . rich palate delivers black berry , licorice , chocolate , clove black pepper alongside firm , chewy tannins . drink 2016–2023 .",Tremenel,91,65.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Villa Erbice 2008 Tremenel  (Amarone della Valpolicella),Red Blend,Villa Erbice,2
3830,3830,Italy,"hallmark chianti classico boasts heady perfume violet , underbrush , peach blossom clove . palate delivers bright red , pepper cinnamon crushed cherry forefront . 's nicely balanced develop complexity next years already delicious .",,93,23.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,San Giusto a Rentennano 2010  Chianti Classico,Red Blend,San Giusto a Rentennano,2
