,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
426,426,Spain,"slightly foxy nose , rubbery aromas cherry cassis , offers tight , tannic palate hard , elastic tannins . flavors cherry cassis pleasant , finish ripe , warming healthy .",Seis,89,18.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Luberri 2011 Seis  (Rioja),Tempranillo,Luberri,3
635,635,Spain,"aromas wood grain , vanilla , butter fino sherry elegant attractive style white rioja . palate , oak-aged viura smooth , creamy flavors oak , apricot peach excel . smooth finish plenty vanilla core acidity indicates age well another 10 years .",Capellanía,92,28.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Marqués de Murrieta 2010 Capellanía Viura (Rioja),Viura,Marqués de Murrieta,3
680,680,Spain,"plum , prune raspberry aromas solid . shows bright , juicy palate along traditional rioja flavors vanilla , tobacco , savory oak dried red-berry fruits . drink 2018 .",Selección Crianza,90,25.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Berceo 2011 Selección Crianza  (Rioja),Tempranillo Blend,Bodegas Berceo,3
820,820,Spain,"cherry cassis aromas touch flat jammy . shows grabby tannins well loamy , earthy , lightly bitter flavors black fruits . finish lumbers along size tannic grip , overall 65 % tempranillo , 25 % graciano 10 % garnacha shows well .",Made With Organic Grapes,86,12.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Navardia 2013 Made With Organic Grapes  (Rioja),Tempranillo Blend,Navardia,3
876,876,Spain,"ripe sweet , lush , raisiny aromas . palate flush , deep layered , baked berry , prune , toast coffee flavors . lot like vall llach 's signature '07 , 's bit restrained $ 50 's better deal $ 95 . still , 's heavyweight drink 2013 .",Idus,90,50.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Vall Llach 2007 Idus Red (Priorat),Red Blend,Vall Llach,3
881,881,Spain,"ripe black aromas n't overly complex nuanced generous . feels tight , gritty healthy , firm tannins front black cherry blackberry flavors . mellows finish , plum prune flavors take . hard , fierce priorat ; drink 2014 .",Coraje,90,44.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Fuentes 2008 Coraje Red (Priorat),Red Blend,Fuentes,3
900,900,Spain,"taken years morlanda reached nice place . look ripeness concentrated black aromas , ripe palate herbal blackberry chocolate . smooth finish , tiny bit burn . drink 2014 .",Criança,90,48.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Morlanda 2007 Criança Red (Priorat),Red Blend,Morlanda,3
938,938,Spain,"earthy , cool aromas wet cement , raisin raspberry bit flat . feels drawing tannic , flavors tomato , red plum , currant raspberry . full-size finish comfortable complex .",II Crianza,87,15.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Covila 2013 II Crianza  (Rioja),Tempranillo,Covila,3
943,943,Spain,"slightly gritty aromas barely ripe enough . feels tight , acidic like tomato juice . flavors salty berry fruits , tomato , oak vanilla modest complete . given cool 2013 rioja , quite good .",Crianza,87,18.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Finca del Marquesado 2013 Crianza  (Rioja),Tempranillo Blend,Finca del Marquesado,3
1042,1042,Spain,"pretty decent rioja vintage , 're going ready rubbery aromas staunch red little bite . 's quite traditional , lemon peel , leather tobacco . runs short finish .",Crianza,85,15.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Rentas de Fincas 2003 Crianza  (Rioja),Red Blend,Rentas de Fincas,3
1053,1053,Spain,"tobacco , molasses , spearmint baked aromas , finds squarely old school forum . palate shows straight-ahead red light herbal pepper accents . snappy bit thin , offers basics .",Reserva,85,30.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Finca La Emperatriz 2000 Reserva  (Rioja),Tempranillo Blend,Finca La Emperatriz,3
1294,1294,Spain,"rubbery berry plum aromas come note latex . mouth , juicy , bright focused , good raspberry plum . textural balance attribute , finish round , lively full tasty berry flavors . drink 2018 .",Serras del Priorat,89,30.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Clos Figueras 2013 Serras del Priorat Red (Priorat),Red Blend,Clos Figueras,3
1326,1326,Spain,waxy lightly toasted aromas yellow apple subtle popping . barrel-fermented offers good weight balance along quiet flavors spiced apple vanilla . sophisticated clean finish lightly oaked flavor smooth feel .,Blanco Fermentado en Barrica,90,33.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Baigorri 2015 Blanco Fermentado en Barrica Viura (Rioja),Viura,Baigorri,3
1358,1358,Spain,"rioja jumpy , lively , candied red-fruit . feels solid , rubbery stout , dark flavors accented mild resin butter notes . feels little sticky finish , firm tannins .",Tinto,86,10.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Burgo Viejo 2011 Tinto  (Rioja),Tempranillo Blend,Burgo Viejo,3
1726,1726,Spain,"classic rioja , monte real always good bet . offering delivers textbook aromas dried raspberry cherry offset fallen leaves pinch seashell . palate still quite fresh , black cherry , raisin , spice cocoa flavors finish smooth long , touch oxidation sherry note added complexity . drink 2022 .",Monte Real Gran Reserva,92,47.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Riojanas 2006 Monte Real Gran Reserva  (Rioja),Tempranillo,Bodegas Riojanas,3
1782,1782,Spain,"jammy , ripe blueberry blackberry aromas belie crisp , tight palate , wild berry , licorice peppery flavors . fresh , wiry , firmly structured alert well comfortable controlled . think classic priorat drink 2018 .",Roureda Llicorella Gran Selecció Vitis 60,91,33.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Cellers Unió 2009 Roureda Llicorella Gran Selecció Vitis 60 Red (Priorat),Red Blend,Cellers Unió,3
