,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
2275,2275,Italy,"oak dominates overall character , forward notes toasted wood , tobacco leaf , roasted coffee bean hint plum . 's wood .",,85,20.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Bindi Sergardi 2010  Chianti Classico,Red Blend,Bindi Sergardi,8
2282,2282,Italy,"shows delicate floral aromas along dominant bell pepper sawdust sensations . palate dominated oaky flavors roasted coffee beans espresso , giving anonymous personality style .",,85,15.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Fattoria di Montecchio 2010  Chianti Classico,Red Blend,Fattoria di Montecchio,8
2350,2350,Italy,"offers aromas oak , chocolate raisin . palate , black cherry prune flavors accompanied bittersweet chocolate , vanilla evident oak sensations . already evolved , drink next year two .",Corpus,88,,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Villa Rinaldi 2000 Corpus  (Amarone della Valpolicella),Red Blend,Villa Rinaldi,8
2898,2898,Italy,"aromas tobacco leaf , wet soil , mature plum , resin whiff barnyard lead nose full-bodied . palate offers dried prune layered notes chocolate grilled sage . fleeting finish closes rather bitter note .",,86,65.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Villa Girardi 2010  Amarone della Valpolicella Classico,Red Blend,Villa Girardi,8
2919,2919,Italy,"rustic aromas recall wet earth , barnyard leather whiff ripe , black . thick palate rather muddled delivers sweet bitter sensations prune , overripe black plum , confectionary flavors , vanilla notes resin alongside astringent tannins dry mouth .",Podere Cariano,86,35.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Le Bertarole 2010 Podere Cariano  (Amarone della Valpolicella Classico),Red Blend,Le Bertarole,8
4053,4053,Italy,"aromas grilled herb , resin , stewed plum cooking spice . robust palate delivers raisin , dried black cherry spirits , licorice , tobacco dried sage alongside bracing grainy tannins clench finish .",Terre di Cariano Riserva,88,60.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Cecilia Beretta 2011 Terre di Cariano Riserva  (Amarone della Valpolicella Classico),Red Blend,Cecilia Beretta,8
5400,5400,Italy,"90 % sangiovese 10 % cabernet sauvignon , aromas oak , rubber unusual sensations recall petrol . 's oak palate , delivering toasted oak , espresso , vanilla coffee alongside hints black cherry . closes astringent , tannic note .",Riserva,85,29.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Valiano 2008 Riserva  (Chianti Classico),Red Blend,Valiano,8
6314,6314,Italy,"start shows leafy aromas hint burned rubber eventually burns . lean palate evolved , still detect note stewed prune , dried . ends bitter , drying note astringent tannins .",Riserva,83,20.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Natale Verga 2010 Riserva  (Chianti Classico),Sangiovese,Natale Verga,8
8654,8654,Italy,"fragrance black , vanilla oak . palate , shows mature blackberry plum-cake flavors , along evident oak toasted notes . still alluring , freshness starting fade , drink soon .",Riserva Fondatori,89,60.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Musella 2008 Riserva Fondatori  (Amarone della Valpolicella),Red Blend,Musella,8
10981,10981,Italy,"characteristic aromas wild berry , wet earth , white truffle roasted coffee bean . feels rich concentrated mouth , never heavy sticky .",Clemente VII Riserva,90,26.0,Tuscany,Chianti Classico,,,,Castelli del Grevepesa 2008 Clemente VII Riserva  (Chianti Classico),Sangiovese,Castelli del Grevepesa,8
11044,11044,Italy,"structured red aromas suggesting espresso , french oak , menthol , mature plum whiff asian spice . taut palate , hints coffee , toast clove accent core dried black cherry . tightly wound , assertive tannins grip finish . give couple years tannins soften little drink capture remaining richness .",Il Margone Gran Selezione,89,50.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Il Molino di Grace 2012 Il Margone Gran Selezione  (Chianti Classico),Sangiovese,Il Molino di Grace,8
11048,11048,Italy,"black plum , roasted coffee bean , toast dried herb aromas unfold glass . firm palate offers dried black cherry , espresso , orange peel , clove sage close-grained tannins provide framework grip finish .",Squarcialupi Gran Selezione,89,48.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,La Castellina 2011 Squarcialupi Gran Selezione  (Chianti Classico),Red Blend,La Castellina,8
