,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
19,19,US,"red aromas pervade nose , cigar box menthol notes riding back . palate slightly restrained entry , riper notes cherry plum specked crushed pepper . merlot , cabernet sauvignon cabernet franc approachable ready enjoyed .",,87,32.0,Virginia,Virginia,,Alexander Peartree,,Quiévremont 2012 Meritage (Virginia),Meritage,Quiévremont,0
92,92,US,"red bordeaux varieties represented , except petit verdot . together , offer simple tannic structure strengthens chewiness leather , tobacco touch cedar . full bodied , 's ripe , bold brawny .",Magnificat,88,55.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Franciscan 2013 Magnificat Meritage (Napa Valley),Meritage,Franciscan,0
177,177,Italy,"chianti classico strikes beautiful balance elegance intensity . pretty aromas wild berry , rose , ginger , anise spice come forth continuous , steady manner . feels bright lively mouth ends touch piquant spice .",,88,22.0,Tuscany,Chianti Classico,,,,Isole e Olena 2005  Chianti Classico,Sangiovese,Isole e Olena,0
194,194,Italy,"'s traditional chianti classico pretty aromas cherry cola , mesquite , almonds violets . compact elegant mouth offers crisp berry flavors close .",,87,,Tuscany,Chianti Classico,,,,Campomaggio 2005  Chianti Classico,Sangiovese,Campomaggio,0
465,465,Italy,"morar spicy amarone fragrance raisin , baked plum , tobacco black pepper . palate delivers lush black cherry raspberry flavors mingled intense white pepper , clove nutmeg notes . 's smooth rich enough freshness make perfect match seasoned cheeses roasted red meat .",Morar,92,69.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Valentina Cubi 2008 Morar  (Amarone della Valpolicella),Red Blend,Valentina Cubi,0
500,500,Spain,"aromas watermelon dusting natural vanilla mark bouquet . palate , 's fleshy still crisp focused , nectarine , red apple strawberry flavors . finish lasts , sweetness .",Rosado,87,11.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,El Coto 2011 Rosado Rosé (Rioja),Rosé,El Coto,0
614,614,Italy,"dynamic sisters run estate deliver clean territory-driven line white wines . easy soave classico peach , pear , citrus touch fragrant honeysuckle flower . 's pure focused overall .",,87,19.0,Veneto,Soave Classico,,,,Suavia 2011  Soave Classico,Garganega,Suavia,0
625,625,Italy,'s pure expression garganega grape sees ( part ) 8 months oak aging extra density thickness . shows spicy notes cinnamon white pepper backed peach candied .,,87,15.0,Veneto,Soave,,,,Corte Falco 2010  Soave,Garganega,Corte Falco,0
754,754,Spain,"pulpy also minerally nose , basic white aromas . zesty , crisp defined slate lime mouth , apple , lime dryness flavor profile . composed little white simple sipping white sangria .",,87,10.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,El Coto 2010 Viura (Rioja),Viura,El Coto,0
780,780,Italy,"thanks eight years vin santo 's traditional caratelli barrels , sweet trebbiano malvasia offers dark , golden-amber color , bearing intense aromas dried apricot , candied , honey toasted almond .",,92,50.0,Tuscany,Vin Santo del Chianti Classico,,,,Castello d'Albola 2003  Vin Santo del Chianti Classico,White Blend,Castello d'Albola,0
899,899,Italy,"tuscany 's mazzei family delivers wonderful chianti classico fonterutoli estate would pair perfectly grilled meats oven-roasted pasta . soft , lush bright cherry spice notes , drive long , velvety finish .",Fonterutoli,90,28.0,Tuscany,Chianti Classico,,,,Mazzei 2009 Fonterutoli  (Chianti Classico),Sangiovese,Mazzei,0
1237,1237,Italy,"pretty concentration deep saturation set stage penetrating aromas blackberry , exotic spice chopped green herbs . rich sangiovese ( 10 % canaiolo ) bright freshness lingering spice finish .",Geografico,88,16.0,Tuscany,Chianti Classico,,,,Agricoltori del Chianti Geografico 2007 Geografico  (Chianti Classico),Sangiovese,Agricoltori del Chianti Geografico,0
1238,1238,France,"aims bring casual side bordeaux , friendly , accessible , without losing essential dry tannins fresh black currant flavors typical region . branded bordeaux like .",Jacques Sans Souci,88,9.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Barrière Frères 2006 Jacques Sans Souci  (Bordeaux),Bordeaux-style Red Blend,Barrière Frères,0
1239,1239,Italy,"'s interesting note honey maple syrup gives riserva uniquely smooth supple style . aromas recall dried prunes , fig currants . offers elegant , fine texture mouth .",Riserva,88,35.0,Tuscany,Chianti Classico,,,,Castellare di Castellina 2005 Riserva  (Chianti Classico),Sangiovese,Castellare di Castellina,0
1248,1248,US,"superpremium effort precept brands loaded , crafted winemaker charlie hoppes ' trademark style—lush oak , giving generous barrel flavors butterscotch toast . barrel flavors dominate , complemented bold black cherry , blackberry cassis .",Goose Ridge Estate Vineyard Meritage Red Wine,88,50.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Sol Duc 2005 Goose Ridge Estate Vineyard Meritage Red Wine Red (Columbia Valley (WA)),Red Blend,Sol Duc,0
1250,1250,Italy,"spice , cherry cola dried lavender emerge nose classy riserva . elegance , harmony long finish thanks quality natural acidity . pair lasagna meat-filled ravioli .",Riserva,88,,Tuscany,Chianti Classico,,,,Lamole di Lamole 2005 Riserva  (Chianti Classico),Sangiovese,Lamole di Lamole,0
1257,1257,Spain,"cameron hughes bottles dozens wines california growers , 's expanded include rioja campo de borja spain along south africa . full-throttled , modern style . 's copious oak , toast darkness bouquet , full-bodied black plum , raspberry spice flavors . quite bulky , oaky style , also one endowed chocolate , nuttiness depth .",Lot 93,88,21.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Cameron Hughes 2004 Lot 93  (Rioja),Tempranillo,Cameron Hughes,0
1721,1721,Spain,"winery dialed back time oak barrel-fermented viura two months five six , 's decidedly less oaky years prior . shows controlled lees character along lemon apple flavors . limited offers , well .",Blanco Fermentado en Barrica,85,8.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Marqués de Cáceres 2006 Blanco Fermentado en Barrica White (Rioja),White Blend,Marqués de Cáceres,0
1753,1753,Spain,"beginning , crianza good vintage lacking . nose mulchy cheesy , almost character . palate edgy feel , leafy , stalky red-fruit flavors salty taste vanilla caramel .",Crianza,84,25.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Finca La Pica 2011 Crianza  (Rioja),Tempranillo Blend,Finca La Pica,0
1927,1927,France,"dense planting vineyard resulted greater concentration past . firm tannins , showing already delicious black-currant . drinking next 2–4 years .",,87,17.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Pezat 2011  Bordeaux Supérieur,Bordeaux-style Red Blend,Pezat,0
2072,2072,Italy,"thickly extracted amarone fruit-driven aromas strawberry , cherry blackberry preserves . inky dark color impenetrable density smooth quality tannins . allegrini one historic well-respected producers valpolicella .",,90,,Veneto,Amarone della Valpolicella Classico,,,,Allegrini 2004  Amarone della Valpolicella Classico,"Corvina, Rondinella, Molinara",Allegrini,0
2145,2145,Spain,"pink smells red-apple skins . palate low acidity entirely dull . dry briny lightly bitter flavors n't show lot , pulpy finish .",Selección Tempranillo,84,8.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Sonsierra 2015 Selección Tempranillo Rosé (Rioja),Rosé,Sonsierra,0
