,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
317,317,France,"soft , ripe , dominated peaches , pears rounded , toasty character . spice dominant , giving exotic edge . rounded style gives concentration well fine , finishing velvet texture .",,86,,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Tour de Mirambeau 2006  Bordeaux Blanc,Bordeaux-style White Blend,Château Tour de Mirambeau,7
575,575,France,"juicy red fruits attractive acidity . wood aging still shows , perhaps strongly , already major factor success . drink 2019 .",,89,14.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château de l'Aubrade 2015  Bordeaux Supérieur,Bordeaux-style Red Blend,Château de l'Aubrade,7
932,932,France,"wood flavors still prominent spicy . heavily influenced rich merlot , lightly structured juicy red fruits . tannins back give enough shape , although ready drink early 2017 .",Tradition,87,14.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château les Petits Arnauds 2014 Tradition  (Blaye Côtes de Bordeaux),Bordeaux-style Red Blend,Château les Petits Arnauds,7
1132,1132,France,"soft , jammy fruity ready drink , black-currant flavors ripe rounded . lightest tannins gives structure immediately accessible .",,84,14.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château les Joyeuses 2014  Bordeaux,Bordeaux-style Red Blend,Château les Joyeuses,7
1656,1656,France,"soft , ripe fruity . gentle tannins attractive red-berry fruits . touch dryness gives easygoing structure . drink early 2017 .",,85,13.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Lanscade 2015  Bordeaux,Bordeaux-style Red Blend,Château Lanscade,7
1760,1760,France,"strong tannic structure , also offers plenty ripe . acidity kept place , giving freshness allied warm berries . drink attractive 2016 .",Mission St. Vincent,84,12.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Producta Vignobles 2013 Mission St. Vincent  (Bordeaux),Bordeaux-style Red Blend,Producta Vignobles,7
2745,2745,France,"pale-colored light , perfumed character . merlot cabernet sauvignon , attractive , bone-dry rosé , ripe strawberry fruits , best food .",,86,15.0,Bordeaux,Bordeaux Rosé,,Roger Voss,@vossroger,Château Léon 2015 Rosé (Bordeaux Rosé),Rosé,Château Léon,7
2832,2832,France,"still toasty , fruity , spicy . firm tannins form backdrop red berry fruits fresh acidity . develop attractively next years , drink 2017 .",,86,10.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Maison Noble 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Maison Noble,7
3597,3597,France,"intensely fruity richness , yellow flavors touch spice citrus zest . soft aftertaste makes immediately attractive .",Sélection Prestige,86,15.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Domaines Barons de Rothschild (Lafite) 2010 Sélection Prestige  (Bordeaux Blanc),Bordeaux-style White Blend,Domaines Barons de Rothschild (Lafite),7
3602,3602,France,"balanced , ready-to-drink attractive , ripe red fruits good acidity . fresh , tannins giving enjoyable firmness otherwise fruity .",,86,17.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,La Croix de Renaud 2009  Bordeaux,Bordeaux-style Red Blend,La Croix de Renaud,7
3726,3726,France,"sweet-tasting flavors black plums wild strawberries give initial charm . tannins provide firm structure attractive surface . 's rich , ripe already pleasure .",,88,,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Haut Bessac 2009  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Haut Bessac,7
