,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
53,53,France,"fruity lightly herbaceous , fine textured acidity along pink grapefruit flavor . bright easy , ready drink months .",La Fleur d'Amélie,85,15.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),Bordeaux-style White Blend,Château de Sours,9
316,316,France,"intriguing sauvignon blanc muscadelle , highlights herbaceous sauvignon character perfumed muscadelle . two give fresh , citrus- pineapple-flavored , lively , enjoyed young .",Les Amants Mont-Pérat,86,,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Mont-Pérat 2008 Les Amants Mont-Pérat  (Bordeaux Blanc),Bordeaux-style White Blend,Château Mont-Pérat,9
372,372,Italy,"fresh , crisp style soave , brimming green plum light acidity . concentration light touch equal measure .",Classico,88,10.0,Veneto,Soave,,Roger Voss,@vossroger,Gini 2002 Classico  (Soave),White Blend,Gini,9
979,979,France,"heavy dose sauvignon blanc brings herbaceous , grassy , white currants gooseberry flavors . 's young , needs time coalesce . certainly fresh , fruity , right front .",Sauvignon,85,10.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Lamothe-Vincent 2008 Sauvignon  (Bordeaux Blanc),Sauvignon Blanc,Château Lamothe-Vincent,9
981,981,France,"totally fresh benefited quality whites 2007 bordeaux . lemony pink grapefruit flavors giving intense lift . herbaceousness , green herbs juicy fruits . drink .",Premius Bordeaux Sauvignon,85,10.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Yvon Mau 2007 Premius Bordeaux Sauvignon  (Bordeaux Blanc),Sauvignon Blanc,Yvon Mau,9
1179,1179,France,"packed red fruits crisp acidity , lively tight mousse , red-currant fruitiness adds intense acidity . bright ready drink .",La Burgondie Rosé Brut,88,10.0,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Bailly-Lapierre NV La Burgondie Rosé Brut  (Crémant de Bourgogne),Sparkling Blend,Bailly-Lapierre,9
1353,1353,France,"attractively fragrant rosé , crisp clean . lively raspberry red currant flavors lightly touched herb note . bright finish completes refreshing .",,86,14.0,Bordeaux,Bordeaux Rosé,,Roger Voss,@vossroger,Chateau le Grand Verdus 2011 Rosé (Bordeaux Rosé),Rosé,Chateau le Grand Verdus,9
1538,1538,France,"light fruity , crisp good acidity . tangy character yeasty edge . drink .",,85,15.0,Bordeaux,Bordeaux Rosé,,Roger Voss,@vossroger,Château Lauduc 2016 Rosé (Bordeaux Rosé),Rosé,Château Lauduc,9
1765,1765,France,"crisp , fruity fresh citrus , grapefruit attractive zesty texture . aromatic bright , ready drink , clean fragrant .",,84,12.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Cap Royal 2014  Bordeaux Blanc,Sauvignon Blanc,Cap Royal,9
1951,1951,France,"cool , sauvignon , strong herbaceous citrus flavors . 's crisp , showing bright , tight , slightly mineral texture .",,86,15.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Pezat 2012  Bordeaux Blanc,Sauvignon Blanc,Pezat,9
